adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tw06VcAipA5w9Q8hwUXaExmMNDx.jpg,"[18, 35]",268238,en,The Second Best Exotic Marigold Hotel,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.,12.549,/j4PARl3gDpv2K45YAv0tgocLW5K.jpg,2015-02-26,The Second Best Exotic Marigold Hotel,False,6.4,516
False,/rtjKNtH29SY49iPWl1U48EAOt8C.jpg,"[14, 12, 28]",16441,en,The Beastmaster,"Dar, is the son of a king, who is hunted by a priest after his birth and grows up in another family. When he becomes a grown man his new father is murdered by savages and he discovers that he has the ability to communicate with the animals, which leads him on his quest for revenge against his father's killers.",12.942,/5FPZwHaJoiLfSvg37UdfVYjroM.jpg,1982-08-16,The Beastmaster,False,6.4,239
False,/yzV9UL3BPFTqikil8isb5DHQQYV.jpg,"[35, 878]",9317,fr,La Soupe aux choux,2 buddy farmers are visited by aliens who like their domestic cabbage soup.,8.96,/eT52CpkNpVrFqamL2WD6iMZuChf.jpg,1981-12-02,Cabbage Soup,False,6.4,597
False,/rPmKBveBCf4zKnOAOuZusdfp8Y.jpg,"[18, 10749]",5879,ja,愛のコリーダ,"Based on a true story set in pre-war Japan, a man and one of his servants begin a torrid affair. Their desire becomes a sexual obsession so strong that to intensify their ardor, they forsake all, even life itself.",14.656,/AiFQbgjgSXWPfbi9iIYT39iXWMW.jpg,1976-05-15,In the Realm of the Senses,False,6.4,297
False,/sWOQBQYkJvm8W7HGk6J8OAjPl2V.jpg,"[18, 878, 35]",4917,en,A Boy and His Dog,"Set in the year 2024 in post-apocalyptic America, 18-year old Vic and his telepathic dog, Blood, are scavengers in the desolate wilderness ravaged by World War IV, where survivors must battle for food, shelter, and sexual companionship in the desert-like wasteland. Vic and Blood eke out a meager existence, foraging for food and fighting gangs of cutthroats.",6.243,/s4vkM7B6Ss7IUgkruTzxnrXnakq.jpg,1975-11-14,A Boy and His Dog,False,6.4,216
False,/AwbiKGoOXC8VVWi0KeZwkT14hTR.jpg,"[80, 53]",433501,en,City of Lies,"Los Angeles Police Department detective Russell Poole has spent years trying to solve his biggest case -- the murders of The Notorious B.I.G. and Tupac Shakur -- but after two decades, the investigation remains open. Jack Jackson, a reporter desperate to save his reputation and career, is determined to find out why. In search of the truth, the two team up and unravel a growing web of institutional corruption and lies.",7.37,/pK7IYQdtdWtMDBJZfMqDxgMjXEt.jpg,2018-09-06,City of Lies,False,6.4,264
False,/hNpGHBaF5P3rbteDHZqjPQFvm5o.jpg,[35],432613,fr,Épouse-moi mon pote,Yassine asks his best friend Fred to marry him in order to avoid deportation...,12.816,/lYGkGZhNKajryEyYOrIF6snqIYZ.jpg,2017-10-25,"Marry Me, Dude",False,6.4,754
False,/wklLM7prDAYL0jp9ZT8a1vO824y.jpg,"[27, 53]",250574,en,Creep,"Looking for work, Aaron comes across a cryptic online ad: “$1,000 for the day. Filming service. Discretion is appreciated.” Low on cash and full of naiveté, he decides to go for it. He drives to a cabin in a remote mountain town where he meets Josef, his cinematic subject for the day. Josef is sincere and the project seems heartfelt, so Aaron begins to film. But as the day goes on, it becomes clear that Josef is not who he says, and his intentions are not at all pure.",11.769,/35HrfAuVmpFibPeeRzlRUXHOaJ1.jpg,2014-06-23,Creep,False,6.4,843
False,/5hKaMeWkVgMjeoF0Wz71ohUl2S9.jpg,"[27, 53, 9648]",121606,en,Resolution,"Michael is committed to getting his best friend Chris to sober up and get his life back on track. With the best of intentions, Michael implements a plan to convince Chris to go to rehab before his drug addiction leads to an early death. But what begins as an attempt to save his friend's life quickly takes an unexpected turn as the two friends confront personal demons, the consequences of past actions, and forces beyond their control.",9.595,/gTZTCMmU7N0qTWJrSUOVBI70ZlA.jpg,2012-04-20,Resolution,False,6.4,226
False,/AcXAzpJDq0wtj2seW1EBUgRSy0v.jpg,"[12, 28, 53]",16353,th,Ong Bak 2,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.,30.894,/sGyB8kVPQsofyQV1T0jE2d6k4q4.jpg,2008-12-04,Ong Bak 2,False,6.4,411
